                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3273,                0.80792,                 1.5224,                0.92442,                0.94764,                0.97741,                 0.6317,                 1.3044,                0.72336,                 1.5667,              0.0017921,              0.0017921,              0.0017921
                     86,                 1.3996,                0.84092,                 1.5512,                0.94185,                0.93283,                0.97706,                0.66605,                 1.1675,                0.70364,                 1.5162,              0.0017896,              0.0017896,              0.0017896
                     87,                 1.1955,                0.73668,                 1.4529,                0.91904,                0.92127,                0.95815,                0.65239,                 1.1555,                0.83497,                 1.5035,              0.0017872,              0.0017872,              0.0017872
                     88,                 1.2769,                0.83299,                   1.52,                0.95748,                0.94319,                0.97978,                0.65238,                 1.2056,                0.71726,                 1.5097,              0.0017847,              0.0017847,              0.0017847
                     89,                 1.2963,                0.83899,                 1.5244,                0.95861,                0.95812,                0.97746,                 0.6589,                 1.0901,                0.69466,                 1.4634,              0.0017822,              0.0017822,              0.0017822
                     90,                 1.2751,                0.77073,                 1.4821,                0.88612,                0.93702,                0.95438,                0.63787,                 1.1819,                0.80141,                 1.5395,              0.0017797,              0.0017797,              0.0017797
                     91,                 1.2015,                 0.7189,                 1.4621,                0.94141,                0.96751,                0.97672,                0.67648,                 1.1203,                0.66965,                 1.4794,              0.0017772,              0.0017772,              0.0017772
                     92,                 1.2847,                0.73984,                 1.4472,                 0.9488,                0.95026,                0.97189,                0.64684,                 1.1573,                  0.687,                 1.5009,              0.0017748,              0.0017748,              0.0017748
                     93,                   1.24,                0.76626,                 1.5257,                0.93826,                0.96859,                0.97949,                0.68511,                 1.0975,                0.64382,                 1.4399,              0.0017723,              0.0017723,              0.0017723
                     94,                 1.2327,                0.74371,                 1.5004,                0.95544,                0.95026,                0.98156,                 0.6815,                 1.1548,                0.64338,                 1.4772,              0.0017698,              0.0017698,              0.0017698
                     95,                 1.2981,                0.76002,                 1.5115,                0.95168,                0.94241,                0.97869,                0.68897,                 1.0929,                 0.6396,                 1.4525,              0.0017674,              0.0017674,              0.0017674
                     96,                 1.2776,                0.77616,                 1.4609,                0.94759,                0.95812,                0.97931,                 0.6505,                 1.1899,                 0.7745,                 1.5335,              0.0017649,              0.0017649,              0.0017649
                     97,                 1.2473,                0.79549,                 1.4905,                0.94144,                0.92592,                0.97464,                0.64343,                 1.1674,                0.73044,                 1.4727,              0.0017624,              0.0017624,              0.0017624
                     98,                  1.207,                0.75292,                 1.4706,                0.92652,                 0.9712,                0.97647,                0.65019,                   1.17,                  0.749,                 1.4928,              0.0017599,              0.0017599,              0.0017599
                     99,                 1.2132,                0.76606,                 1.4327,                 0.9477,                0.94764,                0.97325,                0.66569,                 1.1126,                0.68414,                 1.4666,              0.0017575,              0.0017575,              0.0017575
                    100,                 1.2012,                0.74171,                 1.4672,                0.92185,                0.95732,                0.96536,                0.67196,                  1.124,                0.67981,                 1.4784,               0.001755,               0.001755,               0.001755
                    101,                 1.2136,                0.78062,                 1.4296,                0.93366,                0.92099,                0.97356,                0.66868,                 1.1302,                0.68477,                 1.4921,              0.0017525,              0.0017525,              0.0017525
                    102,                 1.1625,                0.71359,                 1.4398,                0.94181,                0.92932,                0.97857,                0.64973,                 1.1373,                0.69123,                 1.5022,                0.00175,                0.00175,                0.00175
                    103,                 1.2581,                0.74366,                 1.4726,                0.94423,                0.93081,                  0.964,                0.68161,                 1.0907,                0.67719,                 1.4533,              0.0017476,              0.0017476,              0.0017476
                    104,                 1.3131,                0.80873,                 1.5216,                0.94726,                0.94027,                0.97545,                0.58623,                 1.3095,                0.74268,                 1.6218,              0.0017451,              0.0017451,              0.0017451
                    105,                 1.3046,                0.75096,                 1.4492,                  0.956,                0.94764,                0.98277,                0.63074,                 1.2575,                0.71033,                 1.5149,              0.0017426,              0.0017426,              0.0017426
                    106,                  1.286,                0.77361,                 1.4749,                0.93064,                0.96335,                0.98574,                0.67673,                 1.1103,                0.66932,                 1.4499,              0.0017401,              0.0017401,              0.0017401
                    107,                 1.2331,                0.75754,                 1.4443,                0.96285,                0.94984,                0.97806,                 0.6641,                 1.1093,                0.71668,                 1.4458,              0.0017376,              0.0017376,              0.0017376
